Категория; Имя продукта; Код продукта; Цена, бел.руб ;
Мониторы LCD 20 -22;" 20"" Philips 206V3LAB/00 W-LED Black 1600x900/ 10000000:1/ 170°/160°/ 5ms/  250cd/m2/ DVI-D/ D-Sub/ 2x1.5W"; 788226/3725; 1393800.00000; 
Мониторы LCD 20 -22;" 21.5"" LG IPS225T LED Black/ 1920x1080/ 16:9/ IPS/ 250 кд/м2/ 5 000 000:1/ 178°/178°/ 5 мс/ DVI/ D-Sub"; 789597/3725; 1845005.00000; 
Мониторы LCD 20 -22;" 22"" ASUS VH228D LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 50 000 000:1/ 170°/160°/ 5 мс/ D-Sub"; 789209/3725; 1798153.00000; 
Мониторы LCD 20 -22;" 22"" LG E2241S LED Black 1920x1080/ 5000000:1/ 170°/160°/ 5ms/ 250cd/m2/ D-Sub/ VESA"; 787842/3725; 1515002.00000; 
Мониторы LCD 20 -22;" 22"" LG E2241T LED Black 1920x1080/ 5000000:1/ 170°/160°/ 5ms/ 250cd/m2/ DVI-D/ D-Sub/ VESA"; 788583/3725; 1468486.00000; 
Мониторы LCD 20 -22;" 22"" LG E2251T LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 789276/3725; 1587000.00000; 
Мониторы LCD 20 -22;" 22"" LG E2281VR LED Black 1920x1080/ 10000000:1/ 170°/160°/ 5ms/ 250cd/m2/ HDMI/ DVI-D/ D-Sub/ Headphone"; 788584/3725; 2420963.00000; 
Мониторы LCD 20 -22;" 22"" LG IPS226V S-IPS 1920x1080/ 5000000:1/ 178°/178°/ 6ms/ 250cd/m2/ HDMI. DVI-D/ D-Sub/ VESA"; 787657/3725; 2070828.00000; 
Мониторы LCD 20 -22;" 22"" LG M2250D+TV LED 1920x1080/ 5000000:1/ 176°/170°/ 5ms/ 250cd/m2/ HDMI/ D-Sub/ 2x5W/ ДУ/ VESA"; 788588/3725; 2518500.00000; 
Мониторы LCD 20 -22;" 21.5"" LG W2243S Black/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 30 000:1/ 176°/170°/ 5 мс/ D-Sub"; 780638/3725; 1378620.00000; 
Мониторы LCD 20 -22;" 22"" NEC P221W Black/ 1680x1050/ 16:10/ PVA/ 300 кд/м2/ 1 000:1/ 178°/178°/ 6 мс/ DVI/ D-Sub/ Pivot"; 780551/3725; 5542434.00000; 
Мониторы LCD 20 -22;" 22"" Philips 220V1SB/62 Black/ 1680x1050/ 16:10/ TN+Film/ 250 кд/м2/ 20 000:1/ 176°/170°/ 5 мс/ D-Sub"; 789594/3725; 1548360.00000; 
Мониторы LCD 23 -24;" 23"" LG D2342P LED/ 3D Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ HDMI/ D-Sub"; 789274/3725; 2760000.00000; 
Мониторы LCD 23 -24;" 23"" LG E2351T-BN LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 789596/3725; 2049300.00000; 
Мониторы LCD 23 -24;" 23"" LG IPS235T LED Black/ 1920x1080/ 16:9/ IPS/ 250 кд/м2/ 5 000 000:1/ 178°/178°/ 5 мс/ DVI/ D-Sub"; 789598/3725; 2235600.00000; 
Мониторы LCD 23 -24;" 23"" LG IPS236V IPS LED 1920x1080/ 5000000:1/ 178°/178°/ 5ms/ 250cd/m2/ HDMI/ DVI-D/ D-Sub/ Headphone Out/ VESA"; 788587/3725; 2456400.00000; 
Мониторы LCD 23 -24;" 23"" Samsung B2330 Black 1920x1080/ 70000:1/ 170°/160°/ 5ms/ 300cdc/m2/ DVI-D/ D-Sub/ VESA"; 785803/3725; 2146950.00000; 
Мониторы LCD 23 -24;" 23"" Samsung S23A350N LED / 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 1 000 000:1/ 170°/160°/ 5 мс/ D-Sub"; 789139/3725; 2203860.00000; 
Мониторы LCD 23 -24;" 23.6"" ViewSonic VX2451mhp-LED LED White/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 20 000 000:1/ 170°/160°/ 5 мс/ DVI/ HDMI/ D-Sub/ Sound"; 788800/3725; 2514096.00000; 
Мониторы LCD 23 -24;" 24"" LG E2441T LED / 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 788990/3725; 2083800.00000; 
Мониторы LCD 23 -24;" 24"" Philips 247E3LSU/00 LED Black-Brown/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 20 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 789164/3725; 1932000.00000; 
Мониторы LCD 23 -24;" 24"" Samsung S24A350H LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 170°/160°/ 2 мс/ D-Sub/ HDMI"; 789137/3725; 2737541.00000; 
Мониторы LCD 25 -46;" 27"" Samsung S27A550H LED Black/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 1 000 000:1/ 170°/160°/ 5 мс/ D-Sub/ HDMI"; 789506/3725; 4079376.00000; 
Системы охлаждения. вентиляторы; Кулер Arctic Cooling Alpine 64 Pro 500-2000rpm/ 90mm Fan/ 36.7CFM/ 90W/ AL; 781921/3725; 93506.00000; 
Системы охлаждения. вентиляторы; Вентилятор Arctic Cooling Arctic F9 500-2000rpm/ 92mm/ 23.5dBa; 786092/3725; 30128.00000; 
Системы охлаждения. вентиляторы; Вентилятор Arctic Cooling Arctic F9 Pro 500-2000rpm/ 92mm/ 23.5dBa; 786097/3725; 36676.00000; 
Системы охлаждения. вентиляторы; Вентилятор Arctic Cooling Arctic F9 Pro TC 500-2000rpm/ 92mm/ 23.5dBa/ Temperature Controlled; 786095/3725; 44825.00000; 
Системы охлаждения. вентиляторы; Вентилятор Arctic Cooling Arctic Fan 9L 1500rpm/ 92mm/ 12V; 781923/3725; 21984.00000; 
Системы охлаждения. вентиляторы; Кулер Arctic Cooling Freezer 13 Limited Edition/ 600-2000rpm/ 92mm Fan/ 36.4cfm/ 200W; 787947/3725; 399773.00000; 
Системы охлаждения. вентиляторы; Кулер Arctic Cooling Freezer 13/ 600-2000rpm/ 92mm Fan/ 36.4cfm; 787946/3725; 299195.00000; 
Системы охлаждения. вентиляторы; Кулер Cooler Master Hyper 101 RR-H101-30PK-RU 800-3000 rpm/ 13-28dB/ AL + тепловые трубки; 782218/3725; 160926.00000; 
Жесткие диски(HDD) 3; 500Gb Seagate ST500DM002 16MB/ 7200rpm/ SATA III; 788069/3725; 912623.00000; 
Аксесcуары к ноутбукам Apple; Apple MB321Z/A AirPort Express Wi-Fi up to 54Mbps; 784032/3725; 1583636.00000; 
Аксесcуары к ноутбукам Apple; Apple MB829ZM/A Wireless Magic Mouse LAser/ Bluetooth/ White; 782784/3725; 873884.00000; 
Аксесcуары к ноутбукам Apple; Apple MC377 Remote пульт ДУ для Apple; 783747/3725; 332074.00000; 
Аксесcуары к ноутбукам Apple; Apple MC531ZM/A переходник iPad Camera Connection Kit; 787610/3725; 414682.00000; 
Аксесcуары к ноутбукам Apple; Apple MC552ZM/A переходник iPad Dock Connector to VGA Adapter; 787611/3725; 395565.00000; 
Аксесcуары к ноутбукам Apple; Apple MC913ZM/A Thunferbolt cable 2.0m; 789158/3725; 716522.00000; 
Чехлы; Чехол для Apple iPad 2 MD307ZM/A Smart Cover Light Grey; 789156/3725; 522875.00000; 
Чехлы; Чехол для Apple iPad 2 MD308ZM/A Smart Cover Pink; 789157/3725; 527057.00000; 
Ноутбуки ACER;" Acer Aspire 5250-E302G32Mikk (LX.RJY0C.036) E-300(1.3)/ 2G/ 320G/ HD6310/ 15.6""/ DVD/ WCam/ Linux/ СТБ"; 789322/3725; 3678987.00000; 
Ноутбуки DELL;" DELL Inspiron N5050 (982) i3-2330M(2.2)/ 3G/ 320G/ Intel HD3000/ 15.6""/ DVD/ WCam/ HDMI/ BT/ СТБ"; 788689/3725; 5151744.00000; 
Ноутбуки HP; HP 635-LH486EA E-240(1.5)/ 2G/ 320G/ HD6310/ 15.6''/ DVDRW/ WF/ BT/ WCam/ HDMI/ СТБ; 788597/3725; 4044405.00000; 
Ноутбуки HP;" HP 635-LH489EA E-240(1.5)/ 2G/ 320G/ HD6310/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Linux/ Grey/ СТБ"; 788639/3725; 3983050.00000; 
Охлаждающие подставки для ноутбуков; Подставка для ноутбука Belkin F5L025EA Cooling/ White/ 30x30cm; 781179/3725; 259843.00000; 
Аксессуары для ноутбуков и нетбуков; Сигнализация Laptop Antitheft Alarm- Lock MediaTech MT5502; 785839/3725; 241529.00000; 
Сетевые адаптеры для Ноутбуков. Нетбуков. Планшетов; Универсальный адаптер питания FSP NB L65 for Notebook; 787878/3725; 380484.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Belkin F8N357CW145 Move Toploader for 15” Apple MacBook; 789092/3725; 686550.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Belkin F8N357CWBKB Move Toploader for 15” Apple MacBook; 789089/3725; 670956.00000; 
Чехлы; Чехол для ноутбука Luckyboy LLFZ001 15.4'' Black; 781050/3725; 91262.00000; 
Чехлы; Чехол для ноутбука Luckyboy LLS061 15.4'' Black; 781049/3725; 93648.00000; 
Чехлы; Чехол для ноутбука Zava Glamour 10'' под крокодиловую кожу; 786939/3725; 335200.00000; 
Чехлы; Чехол для ноутбука Zava Glamour 12'' под крокодиловую кожу; 786941/3725; 402245.00000; 
Чехлы; Чехол для ноутбука Zava Glamour Arrow 10'' под крокодиловую кожу; 786940/3725; 335200.00000; 
Мыши Canyon; Мышь Canyon CNR-MSOW01P Optical Cordless RF/ 1600dpi/ USB/ Black-Pink; 787495/3725; 188678.00000; 
Мыши Canyon; Мышь Canyon CNR-MSD02 Optical/ 1600dpi/ USB/ Black-Silver; 787487/3725; 65254.00000; 
Мыши Canyon; Мышь Canyon CNR-MSO03 Optical/ 800dpi/ USB/ Black-Silver; 787504/3725; 56227.00000; 
Кабели; Кабель Defender HDMI07-06Pro HDMI to MiniHDMI 1.8m; 780986/3725; 126604.00000; 
Мыши Logitech; Мышь Logitech M125 Silver/ USB; 784154/3725; 114461.00000; 
Мыши Logitech; Мышь Logitech Anywhere MX For Notebook Optical Laser. Right Hand/ Radio/ 10m/ USB/ Black; 782018/3725; 663126.00000; 
Мыши Logitech; Мышь Logitech M100 White/ USB; 786591/3725; 77833.00000; 
Мыши Logitech; Мышь Logitech G300 Optical/ 2500dpi/ Right Hand/ 6кн/ USB/ Black; 789041/3725; 387935.00000; 
1.0 - 1.5 TB HDD 3.5;" FDD 3.5"" 1.44Mb Teac"; 785699/3725; 75449.00000; 
Мыши Logitech; Мышь Logitech M115 Black/ USB; 781366/3725; 132908.00000; 
Мыши Logitech; Мышь Logitech B110 Optical Mouse Black USB Lite Retail; 781058/3725; 65129.00000; 
Мыши Logitech; Мышь Logitech M100 Dark/ USB; 782593/3725; 77833.00000; 
Мыши Logitech; Мышь Logitech LS1 910-001032 Laser Mouse/ USB / Cinammon; 789735/3725; 114461.00000; 
МФУ струйные; Canon Pixma MG3140 МФУ Color A4/ 9/5ppm/ 4800x1200dpi/ Duplex/ LCD/ Wi-Fi/ USB; 789252/3725; 805078.00000; 
МФУ струйные; HP Deskjet 3070A МФУ Color A4/ 23ppm/ 4800x1200dpi/ подача/вывод 80/15/ LCD 2.0''/ Wi-Fi/ AirPrint/ USB; 788322/3725; 772884.00000; 
МФУ струйные; HP Photosmart 5510 e-All-in-One B111b МФУ Color A4/ 11/7ppm/ 1200x1200dpi/ подача/вывод 80/15/ 64Mb/ LCD 2.3''/ Wi-Fi/ CardReader/ AirPrint/ USB; 788242/3725; 1044987.00000; 
МФУ струйные; HP Officejet 6500A Plus e-All-in-One МФУ+Fax Color A4/ 32/31ppm/ 4800x1200dpi/ подача/вывод 250/50/ 64Mb/ Duplex/ RJ-45/ LCD 2.4''/ Wi-Fi/ CardReader/ AirPrint/ USB; 788492/3725; 2736035.00000; 
Ноутбуки TOSHIBA;" Toshiba Satellite L650-1M6 i3-380M(2.53)/ 3G/ 320G/ HD5470/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Black/ СТБ"; 789278/3725; 6257472.00000; 
МФУ струйные; HP Deskjet 2050A All-in-One МФУ Color A4/ 20/16ppm/ 600x600dpi/ подача/вывод 60/25/ USB; 788244/3725; 596869.00000; 
МФУ струйные; HP Deskjet 1050A МФУ Color A4/ 16/12ppm/ 4800x1200dpi/ подача/вывод 60/25/ USB; 788243/3725; 535185.00000; 
МФУ струйные; Canon Pixma MG2140 МФУ Color A4/ 8/5ppm/ 4800x1200dpi/ LCD/ USB; 788991/3725; 585120.00000; 
МФУ струйные; HP Photosmart 7510 e-All-in-One МФУ+Fax Color A4/ 13/9ppm/ 9600x2400dpi/ 64Mb/ Duplex/ LCD 4.3''/ Wi-Fi/ CardReader/ AirPrint/ USB; 789572/3725; 2320742.00000; 
Системы охлаждения. вентиляторы; Кулер Arctic Cooling Freezer 7 Pro rev2 900-2500rpm/ 45cfm/ 90mm/ Аl+Cu/Ceramic Bearing; 786090/3725; 251824.00000; 
Мониторы LCD 20 -22;" 21.5"" DELL ST2220L LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 8 000 000:1/ 170°/160°/ 5 мс/ DVI/ HDMI/ D-Sub"; /3725; 1700557.00000; 
Мониторы LCD 20 -22;" 22"" Philips 225PL2EB/00 W-LED 1680x1050/ 20000000:1/ 176°/170°/ 5ms/ 250cd/m2/ DVI-D/ D-Sub/ 2x1.5W/ 4xUSB/ VESA"; 788487/3725; 2420438.00000; 
Принтеры лазерные; Canon i-SENSYS LBP6000 A4/ 18ppm/ 600x600dpi/ подача/вывод 150/100/ USB; /3725; 867128.00000; 
Принтеры лазерные; Samsung ML-1670 A4/ 16ppm/ 1200x1200dpi/ подача/вывод 150/100/ 8Mb/ USB; /3725; 723102.00000; 
Компьютеры Apple; Apple iMac MC309RS/A Quad Core i5(2.5)/ 4G/ 500G/ HD6750/ 21.5''/ DVDRW/ WF/ BT/ WCam/ Mac OS/ СТБ; /3725; 9999999.99999; 
Аксесcуары к ноутбукам Apple; Apple MB110RS Keyboard with Numeric Keypad; /3725; 622883.00000; 
Аксесcуары к ноутбукам Apple; Apple MB570ZM/A переходник Mini DisplayPort to DVI Adapter; /3725; 418064.00000; 
Аксесcуары к ноутбукам Apple; Apple MC184RS/A Wireless Keyboard; /3725; 865489.00000; 
Аксесcуары к ноутбукам Apple; Apple MC380ZM/A Magic Trackpad Multi-Touch/ Bluetooth; /3725; 785485.00000; 
Аксесcуары к ноутбукам Apple; Apple MC953ZM/A Digital AV Adapter адаптер для iPhone 4/iPad/iPad 2/iPod touch 4G; /3725; 552833.00000; 
Чехлы; Чехол для Apple iPad 2 MD305ZM/A Smart Cover Leather Cream; /3725; 895512.00000; 
Чехлы; Чехол для Apple iPad 2 MD306ZM/A Smart Cover Dark Grey; /3725; 522875.00000; 
Чехлы; Чехол для Apple iPad 2 MD309ZM/A Smart Cover Green; /3725; 522875.00000; 
Чехлы; Чехол для Apple iPad 2 MD310ZM/A Smart Cover Blue; /3725; 522875.00000; 
Ноутбуки ACER;" Acer Aspire 5349-B812G50Mnkk (NX.RR9EU.003) B815(1.6)/ 2G/ 500G/ Intel HD/ 15.6""/ DVD/ WCam/ HDMI/ MeeGo/ Black/ СТБ"; /3725; 3924429.00000; 
Ноутбуки ACER;" Acer Aspire 5560G-4054G50Mnkk (NX.RUNEU.004) A4-3305M(1.9)/ 4G/ 500G/ HD7470M/ 15.6""/ DVD/ WCam/ HDMI/ Linux/ СТБ"; /3725; 5320439.00000; 
Ноутбуки ACER;" Acer Aspire 5733Z-P624G50Mnkk (NX.RJWEU.003) P6200(2.13)/ 4G/ 500G/ Intel HD/ 15.6""/ DVD/ WCam/ Linux/ СТБ"; /3725; 4360738.00000; 
Ноутбуки ACER;" Acer Aspire 5749Z-B964G50Mnkk (NX.RR8EU.004) B960(2.2)/ 4G/ 500G/ Intel HD/ 15.6""/ DVD/ WCam/ HDMI/ MeeGo/ Black/ СТБ"; /3725; 4366118.00000; 
Ноутбуки ACER;" Acer Aspire 5755G-52456G75Mnks (NX.RVBEU.001) i5-2450M(2.5)/ 6G/ 750G/ GT630M/ 15.6""/ DVD/ WCam/ HDMI/ Linux/ Black/ СТБ"; /3725; 7215147.00000; 
Ноутбуки ACER;" Acer Aspire 7250-E304G50Mnkk (NX.RL6EU.001) E-300(1.3)/ 4G/ 500G/ HD6310/ 17.3""/ DVD/ WCam/ HDMI/ Linux/ Black/ СТБ"; /3725; 4407241.00000; 
Нетбуки ASUS;" ASUS Eee PC 1011CX-BLK045S N2600(1.6)/ 2G/ 320G/ Intel X3600/ 10.1""/ WCam/ HDMI/ BT/ Win 7/ Black/ СТБ"; /3725; 3943910.00000; 
Нетбуки ASUS;" ASUS Eee PC 1011CX-WHI036S N2600(1.6)/ 2G/ 320G/ Intel X3600/ 10.1""/ WCam/ HDMI/ BT/ Win 7/ White/ СТБ"; /3725; 3943910.00000; 
Нетбуки ASUS;" ASUS Eee PC 1225C-GRY011W N2600(1.6)/ 2G/ 320G/ Intel X3600/ 11.6""/ WCam/ HDMI/ BT/ Grey/ СТБ"; /3725; 3941910.00000; 
Нетбуки ASUS;" ASUS Eee PC 1225C-WHI023W N2600(1.6)/ 2G/ 320G/ Intel X3600/ 11.6""/ WCam/ HDMI/ BT/ White/ СТБ"; /3725; 3941910.00000; 
Нетбуки ASUS;" ASUS Eee PC X101CH-WHI038S N2600(1.6)/ 1G/ 320G/ Intel X3600/ 10.1""/ WCam/ HDMI/ Win 7/ White/ СТБ"; /3725; 3420583.00000; 
Ноутбуки ASUS;" ASUS K43SD-VX105D B950(2.1)/ 3G/ 320G/ GT610M/ 14""/ DVD/ WCam/ HDMI/ Free DOS/ Black-Brown/ СТБ"; /3725; 5553144.00000; 
Ноутбуки ASUS;" ASUS K43TA-VX081D A6-3400M(1.4)/ 4G/ 320G/ HD6720G2/ 14""/ DVD/ WCam/ HDMI/ Free DOS/ Black-Brown/ СТБ"; /3725; 6009651.00000; 
Ноутбуки ASUS;" ASUS K43TK-VX009D A4-3305M(1.9)/ 3G/ 320G/ HD7670M/ 14""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Brown/ СТБ"; /3725; 5955495.00000; 
Ноутбуки ASUS;" ASUS K53SD-SX386D i3-2350M(2.3)/ 3G/ 320G/ 610M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Brown/ СТБ"; /3725; 6448862.00000; 
Ноутбуки ASUS;" ASUS K53TK-SX037D A4-3305M(1.9)/ 3G/ 500G/ HD7670M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Black/ СТБ"; /3725; 6161427.00000; 
Ноутбуки ASUS;" ASUS K73TK-TY015R A4-3305M(1.9)/ 4G/ 500G/ HD7670M/ 17.3""/ DVD/ WCam/ HDMI/ BT/ Win 7/ Black/ СТБ"; /3725; 7193140.00000; 
Ноутбуки ASUS;" ASUS K73TK-TY039V A6-3420M(1.5)/ 4G/ 640G/ HD7670M/ 17.3""/ DVD/ WCam/ HDMI/ BT/ Win 7/ Black/ СТБ"; /3725; 7500472.00000; 
Ноутбуки ASUS;" ASUS K73TK-TY040D A4-3305M(1.9)/ 4G/ 320G/ HD7670M/ 17.3""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Brown/ СТБ"; /3725; 6905177.00000; 
Ноутбуки ASUS;" ASUS K95VM-YZ009D i7-3610QM(2.3)/ 8G/ 1500G/ GT630M/ 18.4""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Black/ СТБ"; /3725; 9999999.99999; 
Ноутбуки ASUS;" ASUS N53SM-SX071D i5-2450M(2.5)/ 4G/ 750G/ GT630M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Silver-Black/ СТБ"; /3725; 8761575.00000; 
Ноутбуки ASUS;" ASUS N53TA-V2G-SX055D A4-3300M(1.9)/ 4G/ 500G/ HD6650M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Black/ СТБ"; /3725; 6463868.00000; 
Ноутбуки ASUS;" ASUS N53TK-SX011D A6-3420M(1.5)/ 4G/ 750G/ HD7670M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Grey/ СТБ"; /3725; 8027029.00000; 
Ноутбуки ASUS;" ASUS N53TK-SX012D A4-3305M(1.9)/ 4G/ 500G/ HD7670M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Black/ СТБ"; /3725; 7444061.00000; 
Ноутбуки ASUS;" ASUS N55SL-S2080V i3-2350M(2.3)/ 6G/ 750G/ GT635M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Win 7/ White/ СТБ"; /3725; 9999999.99999; 
Ноутбуки ASUS;" ASUS N73SM-TZ073V i3-2350M(2.3)/ 4G/ 500G/ GT630M/ 17.3""/ DVD/ WCam/ HDMI/ BT/ Win 7/ Grey/ СТБ"; /3725; 9294771.00000; 
Ноутбуки ASUS;" ASUS U24E-PX072V i5-2450M(2.5)/ 4G/ 500G/ Intel HD3000/ 11.6""/ WCam/ HDMI/ BT/ Win 7/ Red/ СТБ"; /3725; 8404306.00000; 
Ноутбуки ASUS;" ASUS U31SG-RX014R i3-2350M(2.3)/ 4G/ 320G/ 610M/ 13.3""/ WCam/ HDMI/ BT/ Win 7/ Silver-Black/ СТБ"; /3725; 7996970.00000; 
Ноутбуки ASUS;" ASUS U32U-RX007R E-450(1.65)/ 4G/ 320G/ HD6320/ 13.3""/ WCam/ HDMI/ Win 7/ Silver-Black/ СТБ"; /3725; 6024495.00000; 
Ноутбуки ASUS;" ASUS X53BR-SX020D E-450(1.65)/ 2G/ 500G/ HD7470M/ 15.6""/ DVD/ WCam/ HDMI/ Free DOS/ Brown/ СТБ"; /3725; 4803617.00000; 
Ноутбуки ASUS;" ASUS X53BR-SX026D E-450(1.65)/ 2G/ 320G/ HD7470M/ 15.6""/ DVD/ WCam/ HDMI/ Free DOS/ Brown/ СТБ"; /3725; 4592493.00000; 
Ноутбуки ASUS;" ASUS X54HR-SX027D B815(1.6)/ 2G/ 320G/ HD7470M/ 15.6""/ DVD/ WCam/ Free DOS/ Black/ СТБ"; /3725; 4480363.00000; 
Ноутбуки ASUS;" ASUS X54HR-SX227D B815(1.6)/ 2G/ 500G/ HD7470M/ 15.6""/ DVD/ WCam/ HDMI/ Free DOS/ Black/ СТБ"; /3725; 4647508.00000; 
Ноутбуки DELL;" DELL Inspiron M5110 (800) A4-3300M(1.9)/ 4G/ 500G/ HD6510G2/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Red/ СТБ"; /3725; 5275569.00000; 
Ноутбуки DELL;" DELL Inspiron M5110 (802) A4-3300M(1.9)/ 4G/ 500G/ HD6510G2/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Blue/ СТБ"; /3725; 5278243.00000; 
Ноутбуки DELL;" DELL Inspiron M5110 (804) A4-3300M(1.9)/ 4G/ 500G/ HD6510G2/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Black-Brown/ СТБ"; /3725; 5275569.00000; 
Ноутбуки DELL;" DELL Inspiron N5110 (409) B950(2.1)/ 2G/ 320G/ HD6470M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Black-Brown/ СТБ"; /3725; 4706401.00000; 
Ноутбуки DELL;" DELL Inspiron N5110 (417) B950(2.1)/ 2G/ 320G/ HD6470M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Black-Brown/ СТБ"; /3725; 4705925.00000; 
Ноутбуки LENOVO;" Lenovo IdeaPad S100 59307778 N435(1.33)/ 2G/ 320G/ Intel X3150/ 10.1""/ WCam/ Linux/ Black/ СТБ"; /3725; 3064980.00000; 
Ноутбуки MSI;" MSI CR650-239XKZ E-450(1.65)/ 2G/ 320G/ HD6320/ 15.6""/ DVD/ WCam/ HDMI/ Free DOS/ Black-Red/ СТБ"; /3725; 3795000.00000; 
Ноутбуки MSI;" MSI U180-057XBY N2800(1.86)/ 1G/ 320G/ Intel X3650/ 10.1""/ WCam/ HDMI/ BT/ Free DOS/ Black/ СТБ"; /3725; 3309930.00000; 
Ноутбуки MSI;" MSI U180-058XBY N2800(1.86)/ 1G/ 320G/ Intel X3650/ 10.1""/ WCam/ HDMI/ BT/ Free DOS/ Black-Pearlpurple/ СТБ"; /3725; 3309930.00000; 
Ноутбуки SAMSUNG;" Samsung NP300E5Z-A02RU B800(1.5)/ 2G/ 500G/ Intel HD/ 15.6""/ DVD/ WCam/ HDMI/ BT/ Free DOS/ Silver-Black/ СТБ"; /3725; 4335960.00000; 
Ноутбуки TOSHIBA;" Toshiba Satellite C660-2F0 i3-2330M(2.2)/ 4G/ 500G/ GT520M/ 15.6""/ DVD/ WCam/ HDMI/ BT/ СТБ"; /3725; 6192943.00000; 
Сетевые адаптеры для Ноутбуков. Нетбуков. Планшетов; Универсальный адаптер питания FSP NB V65 for Notebook; /3725; 244260.00000; 
Сетевые адаптеры для Ноутбуков. Нетбуков. Планшетов; Универсальный адаптер питания Trust 70W Worldwide for Notebook; /3725; 369544.00000; 
Сумки 15-16 дюймов;" Рюкзак для ноутбука Defender Dragon 15''-16"" BackPack Black"; /3725; 242288.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Belkin F8N342CW034 Dash Messenger 16'' Grey; /3725; 394956.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Defender Amulet 15-16; /3725; 168804.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Defender Austerity 15'' - 16'' Black; /3725; 107595.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Defender Business Lady 15.4'' Beige; /3725; 218378.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Defender Business Lady 15.4'' Grey; /3725; 213118.00000; 
Сумки 9 -14 дюймов;" Сумка для ноутбука Defender Butterfly 13-14.1"" Red"; /3725; 165019.00000; 
Сумки 15-16 дюймов;" Сумка для ноутбука Defender Datacase 15.4"" Dark Blue"; /3725; 203435.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Defender Graffity 15.4'' Beige-Blue; /3725; 234075.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Defender Graffity 15.4'' Beige-Brown; /3725; 234542.00000; 
Сумки 9 -14 дюймов;" Сумка для ноутбука Defender Leader 13-14.1"" Black"; /3725; 152865.00000; 
Сумки 15-16 дюймов; Сумка для ноутбука Defender Megapolis 15.4'' Dark Blue; /3725; 161998.00000; 
