Категория; Имя продукта; Код продукта; Цена, бел.руб ;
Колонки Microlab; Microlab M-310 2.1 (12Wx2+16W RMS) 2 кол.+сабв. дерев.Black; /3725; 338790.00000; 
Колонки Microlab; Microlab M-500 2.1 (12Wх2+16W RMS) 2 кол.+сабв. пластик./ Черные; /3725; 379489.00000; 
Колонки Microlab; Microlab M-500U 2.1 (12Wх2+16W RMS) 2 кол.+сабв. дерев./ Черные; /3725; 438840.00000; 
Колонки Microlab; Microlab M-600 2.1 (2x12W+16W RMS) Silver-Black; /3725; 448500.00000; 
Колонки Microlab; Microlab M-700 2.1 (16Wx2+12W RMS) 2 кол.+сабв. дерев./ Черные; /3725; 391920.00000; 
Колонки Microlab; Microlab M-820 2.1 (12Wx2+16W RMS) 2 кол.+сабв. дерев.  черный; /3725; 386346.00000; 
Колонки Microlab; Microlab M-930 2.1 Silver-Black /30W(2х7W+16W)/ встроенный усилитель/ пульт ДУ; /3725; 481620.00000; 
Колонки Microlab; Microlab H500 5.1 Красное дерево/ 320 Вт: 5 х 45 Вт + 95 Вт RMS/ 45 - 22000 Гц/ ДУ; /3725; 3308936.00000; 
Колонки Microlab; Microlab H510 5.1 270W: 32Wx5 + 110W/ 20-20000GHz/ 80dBa/ дерево/ ПДУ/ Black; 10988/3725; 2884824.00000; 
Колонки Microlab; Microlab M-700 5.1 62W(5х8W+22W)/ встроенный усилитель/ Black; /3725; 716009.00000; 
Микрофоны; Микрофон Canyon CNR-MIC 1 Black; /3725; 45504.00000; 
Микрофоны; Микрофон Canyon CNR-MIC3 Black; /3725; 68112.00000; 
Микрофоны; Микрофон Defender MIC-130 для караоке/ 5м кабель; 12188/3725; 24185.00000; 
Микрофоны; Микрофон Defender MIC-140 беспроводной/ для караоке; 12189/3725; 104802.00000; 
Микрофоны; Микрофон Defender MIC-142 беспроводной / для караоке/ 15м; 11793/3725; 76660.00000; 
Микрофоны; Микрофон Defender MIC-155 набор 2 беспроводных микрофона/ 30м; /3725; 177944.00000; 
Гарнитуры; Гарнитура Defender HN-102 с регулятором громкости; /3725; 26632.00000; 
Гарнитуры; Гарнитура Defender HN-750 стерео/ регулят. громк./ 4м кабель; /3725; 54743.00000; 
Гарнитуры; Гарнитура Defender HN-818 стерео/ регулят. громк./ 1.8м кабель; /3725; 164229.00000; 
Гарнитуры; Гарнитура Defender HN-860 стерео/ регулят. громк./ 3м кабель; /3725; 57867.00000; 
Гарнитуры; Гарнитура Defender HN-875 стерео/ регулят. громк./ 3м кабель; /3725; 76443.00000; 
Гарнитуры; Гарнитура Defender HN-928 стерео/ регулят. громк./ 3м кабель; /3725; 60332.00000; 
Гарнитуры; Гарнитура Defender HN-G117 стерео/ регулят. громк./ 2.6м кабель/ USB; /3725; 427281.00000; 
Гарнитуры; Гарнитура Logitech Dialog-220/ Black; /3725; 37019.00000; 
Мыши A4Tech; Мышь A4Tech G7-100N-2 V-Track Wireless 15m/ 2000dpi/ 2кн + 1кол 4D/ USB/ White; /3725; 158526.00000; 
Мыши A4Tech; Мышь A4Tech G7-250NX-1 V-Track Wireless 15m/ 2000dpi/ 3кн + 1кол 4D/ USB/ Black; /3725; 166172.00000; 
Мыши A4Tech; Мышь A4Tech G7-300N-1 V-Track Wireless 15m/ 2000dpi/ 3кн + 1кол 4D/ USB/ Black; /3725; 141443.00000; 
Мыши A4Tech; Мышь A4Tech G7-400N-1 V-Track Wireless 15m/ 2000dpi/ 2кн + 1кол 4D/ USB/ Black-Red; /3725; 155420.00000; 
Мыши A4Tech; Мышь A4Tech N-100-1 V-Track 1000dpi/ 2кн + 1кол/ USB/ Carbon; /3725; 73111.00000; 
Мыши A4Tech; Мышь A4Tech N-200X V-Track 1600dpi/ 3кн + 1кол/ USB/ Grey; /3725; 72872.00000; 
Мыши A4Tech; Мышь A4Tech N-250X-1 V-Track 1600dpi/ 3кн + 1кол 4D/ USB/ BLack; /3725; 71319.00000; 
Мыши A4Tech; Мышь A4Tech N-310-1 V-Track 1000dpi/ 3кн + 1кол 4D/ USB/ Black+Orange; /3725; 65824.00000; 
Мыши A4Tech; Мышь A4Tech N-400-1 V-Track 1000dpi/ 2кн + 1кол 4D/ USB/ Grey; /3725; 62479.00000; 
Мыши A4Tech; Мышь A4Tech N-600X-1 V-Track 1600dpi/ 3кн + 1кол 4D/ USB/ Black; /3725; 71080.00000; 
Мыши A4Tech; Мышь A4Tech N-61FX-2 V-Track 1600dpi/ 3кн + 1кол 4D/ USB/ Black; /3725; 92583.00000; 
Мыши A4Tech; Мышь A4Tech N-70FX-1 V-Track 1600dpi/ 6кн + 1кол 4D/ USB/ Black; /3725; 78606.00000; 
Мыши A4Tech; Мышь A4Tech N-770FX-1 V-Track 1600dpi/ 4кн + 1кол 4D/ USB/ Black; /3725; 77889.00000; 
Мыши Defender; Mышь Defender Athena 225 Nano 1600dpi/ 4кн + 1 кол/ 10m/ USB/ Grey; /3725; 139024.00000; 
Мыши Defender; Mышь Defender Athena 225 Nano 1600dpi/ 4кн + 1 кол/ 10m/ USB/ Violet; /3725; 139024.00000; 
Мыши Defender; Mышь Defender Discovery MM-425 Nano Wireless 1600dpi/ 5кн + 1кол/ 10m/ 1xAA/ USB/ White; /3725; 120424.00000; 
Мыши Defender; Mышь Defender Discovery MS-410 1000dpi/ 2кн + 1кол/ Black/ USB; /3725; 62568.00000; 
Мыши Defender; Мышь Defender NetSprinter 440 1000dpi/ 2 кн + 1 кол/ USB / Black; /3725; 32101.00000; 
Мыши Defender; Мышь Defender NetSprinter 440 1000dpi/ 2 кн + 1 кол/ USB / White; /3725; 35336.00000; 
Мыши Defender; Мышь Defender NetSprinter 440 1000dpi/ 2 кн + 1 кол/ USB / White-Blue; /3725; 34793.00000; 
Мыши Defender; Мышь Defender NetSprinter 440 1000dpi/ 2 кн + 1 кол/ USB / White-Pink; /3725; 34793.00000; 
Мыши Defender; Мышь Defender Opera 880 2000dpi/ 4 кн + 1 кол/ USB / Red; /3725; 69552.00000; 
Мыши Defender; Мышь Defender Optimum 115 Nano Wireless 2000dpi/ 3 кн + 1 кол/ 10m/ 2xAA/ USB; /3725; 98978.00000; 
Мыши Defender; Мышь Defender Phantom 320 Black 800dpi/ 3кн + 1 кол/ USB; /3725; 39056.00000; 
Мыши Defender; Мышь Defender Pulsar 655 Gray/ Cordless 1600dpi/ 4кн + 1кол/ USB; /3725; 134544.00000; 
Мыши Defender; Мышь Defender Rider 205Nano B Optical/ Cordless/ 1000dpi/ 2кн + кол/ USB/ Nano приемник/ Black; /3725; 129557.00000; 
Мыши Defender; Мышь Defender Verso MB-120 800dpi/ 2 кн + 1 кол/ PS/2 / Black; /3725; 28474.00000; 
Мыши Defender; Мышь Defender Verso MB-120 800dpi/ 2 кн + 1 кол/ PS/2 / Grey; /3725; 30280.00000; 
Мыши Defender; Мышь Defender Verso MM-395 Nano Optical/ 10m/ 1600dpi/ 4кн + 1 кол/ USB / Iron Grey; /3725; 116924.00000; 
Мыши Defender; Мышь Defender Verso MS-375 Nano Optical  Wireless/ 10m/1600dpi/ 4 кн + 1 кол/ USB / Black Piano; /3725; 114908.00000; 
Мыши Logitech; Мышь Logitech S-96 (800 Dpi) Optical PS/2 Black; 2492/3725; 48532.00000; 
Мыши Microsoft; Мышь Microsoft Comfort Mouse 3000 S9J-00004 Optical/ 2кн + 1кол./ USB; /3725; 140976.00000; 
Мыши Microsoft; Мышь Microsoft Comfort Mouse 6000 5CJ-00002 Optical/ 3кн + 1кол./ USB; /3725; 253506.00000; 
Мыши Microsoft; Мышь Microsoft Comfort Mouse 6000 S7J-00004 Optical/ 5кн + 1кол./ USB; /3725; 247680.00000; 
Мыши Microsoft; Мышь Microsoft Compact Mouse 100 4PJ-00003 2кн + 1кол./ USB/ Black; /3725; 66960.00000; 
Мыши Microsoft; Мышь Microsoft Compact Optical Mouse 500 4PP-00002 USB Black; /3725; 97980.00000; 
Мыши Microsoft; Мышь Microsoft Compact Optical Mouse 500 U81-00058 USB Green; /3725; 113472.00000; 
Мыши Microsoft; Мышь Microsoft Compact Optical Mouse 500 U81-00060 USB Pink; /3725; 119784.00000; 
Мыши Microsoft; Мышь Microsoft Compact Optical Mouse 500 U81-00062 3кн + 1кол./ USB/ Red; /3725; 113472.00000; 
Мыши Microsoft; Мышь Microsoft Express Mouse T2J-00004 3кн + 1кол/ USB/ White + Red; /3725; 159840.00000; 
Мыши Microsoft; Мышь Microsoft Express Mouse T2J-00010 3кн + 1кол/ USB/ White + Grey; /3725; 159840.00000; 
Мыши Microsoft; Мышь Microsoft Optical Mouse 100 4JJ-00003 2кн + 1кол./ USB/ Black; /3725; 65952.00000; 
Мыши Microsoft; Мышь Microsoft Ready 3EG-00004 2кн + 1кол./ USB/ Black; /3725; 130962.00000; 
Мыши Microsoft; Мышь Microsoft SideWinder X3 UUC-00005 Laser/ 7кн + 1 кол./ Black-Grey; /3725; 400890.00000; 
Мыши Microsoft; Мышь Microsoft Wireless Mobile Mouse 3500 5RH-00001 3кн + 1кол./ USB/ Black; /3725; 206352.00000; 
Мыши других производителей; Мышь Logilink ID0011/ Mini Optical Scroll Mouse/ Black; /3725; 40906.00000; 
Мыши других производителей; Мышь Logilink ID0022/ Mini Optical Scroll Mouse Blue; /3725; 48169.00000; 
Мыши других производителей; Мышь Logilink ID0023/ Mini Optical Scroll Mouse Orange; /3725; 48149.00000; 
Мыши других производителей; Мышь Logilink ID0024/ Mini Optical Scroll Mouse Green; /3725; 48149.00000; 
Мыши других производителей; Мышь Logilink ID0025/ Mini Optical Scroll Mouse Black; /3725; 48159.00000; 
Навигаторы GPS; GPS-навигатор PRESTIGIO GeoVision 4141 4.3''/ Atlas V/ 128Mb/ 2G/ Navitel/ Micro SD/ USB/ Win CE; /3725; 793638.00000; 
Навигаторы GPS; GPS-навигатор PRESTIGIO GeoVision 4500BT 4.3''/ Atlas V/ 128Mb/ 4G/ Navitel 5.0/ BT/ Micro SD; /3725; 837384.00000; 
Навигаторы GPS; GPS-навигатор PRESTIGIO GeoVision 4700 4.3''/ Atlas V/ 128Mb/ 4G/ Navitel/ Micro SD/ USB/ Win CE 6.0; /3725; 984216.00000; 
Принтеры лазерные; Canon i-SENSYS LBP6200d A4/ 25ppm/ 600x600dpi/ подача/вывод 250/100/ Duplex/ USB; /3725; 1600717.00000; 
Принтеры лазерные цветные; HP LaserJet Pro CP1025nw Color A4/ 16/4ppm/ 600x600dpi/ подача/вывод 150/50/ 64Mb/ RJ-45/ Wi-Fi/ USB; /3725; 2340342.00000; 
Принтеры лазерные; Xerox Phaser 3010 A4/ 20ppm/ 1200x1200dpi/ подача/вывод 150/100/ 64Mb/ USB; /3725; 700099.00000; 
МФУ лазерные; HP HP LaserJet Pro M1212nf МФУ+Fax A4/ 18ppm/ 600x600dpi/ подача/вывод 150/100/ 64Mb/ RJ-45/ LCD/ AirPrint/ USB; /3725; 2301264.00000; 
МФУ лазерные цветные; Samsung CLX-3185 МФУ Color A4/ 16/4ppm/ 2400x600dpi/ подача/вывод 130/80/ 128Mb/ LCD/ USB; /3725; 2875550.00000; 
МФУ лазерные; Samsung CX-3405 МФУ A4/ 20ppm/ 1200x1200dpi/ подача/вывод 150/100/ 64Mb/ LED/ USB; /3725; 1753980.00000; 
МФУ лазерные; Samsung SCX-3400 A4/ 20ppm/ 1200x1200dpi/ подача/вывод 150/100/ 64Mb/ LED/ USB; /3725; 1656923.00000; 
МФУ лазерные; Samsung SCX-4727FD МФУ+Fax A4/ 28ppm/ 1200x1200dpi/ подача/вывод 250/40/ 128Mb/ Duplex/ RJ-45/ LCD/ USB; /3725; 2566316.00000; 
МФУ лазерные; Samsung SCX-4728FD МФУ+Fax A4/ 28ppm/ 1200x1200dpi/ подача/вывод 250/120/ 128Mb/ Duplex/ RJ-45/ LCD/ USB; /3725; 2677200.00000; 
МФУ лазерные; Xerox WorkCentre 3045B МФУ A4/ 24ppm/ 1200x1200dpi/ подача/вывод 150/100/ 128Mb/ LCD/ USB; /3725; 1361504.00000; 
Принтеры струйные; HP HP Officejet 7000 Color A3/ 33/32ppm/ 4800x1200dpi/ подача/вывод 150/100/ 32Mb/ RJ-45/ USB; /3725; 2462610.00000; 
МФУ струйные; Canon Pixma MG5340 МФУ Color A4/ 12/9ppm/ 9600x2400dpi/ Duplex/ LCD 3.0''/ Wi-Fi/ CardReader/ PrintCD/ USB; /3725; 1519380.00000; 
МФУ струйные; Canon Pixma MP280 МФУ Color A4/ 8/5ppm/ 4800x1200dpi/ LCD/ USB; /3725; 532680.00000; 
МФУ струйные; Canon Pixma MX340 МФУ+Fax Color A4/ 8.7/5ppm/ 4800x1200dpi/ LCD/ Wi-Fi/ USB; /3725; 861010.00000; 
МФУ струйные; Epson Stylus Photo PX660 МФУ Color A4/ 38/37ppm/ 5760x1440dpi/ LCD 2.4''/ CardReader/ PrintCD/ USB; /3725; 1957954.00000; 
Проекторы BenQ; Проектор Benq MX501 XGA(1024x768)/ 2700ANSI/ 4000:1/ 24''to300''/ HDMI/ D-Sub/NTSC / PAL / SECAM; /3725; 5421192.00000; 
Сканеры Canon; Canon CanoScan LIDE 700F A4/ планшетный/ CIS/ 9600x9600 dpi/ слайд-адаптер/ USB 2.0; /3725; 1311000.00000; 
Сканеры Hewlett Packard; HP Scan Jet G2410 A4 Color/ CCD/ 1200dpi/ 48bit/ Scan + Copy Buttons/ USB; 10763/3725; 752288.00000; 
Планшетные компьютеры ПРОЧИЕ;" Prestigio MultiPad PMP3084B ARM9 Rockchip 2818/ 256Mb/ 4G/ 8.4""/ Wi-Fi/ mUSB/ Android/ Black/ СТБ"; /3725; 1301862.00000; 
Диски DVD+ -R. DVD+ -RW; DVD+/-RW NEC-Sony AD7280S-0B SATA/ Black; /3725; 168871.00000; 
Материнские платы для Intel Socket 1155; OEM CPU Socket 1155 Intel Celeron G440 1.6GHz (256KB + 1024KB) Sandy Bridge; /3725; 424880.00000; 
Материнские платы для Intel Socket 1156; OEM CPU Socket 1155 Intel Celeron G540 2.5GHz (512KB + 2048KB) Sandy Bridge; /3725; 572700.00000; 
Материнские платы для Intel Socket 1157; OEM CPU Socket 1155 Intel Pentium G620 2.6GHz (128KB + 512KB + 3072KB) Sandy Bridge; /3725; 608350.00000; 
Материнские платы для Intel Socket 775; OEM CPU Intel Pentium Dual Core E5800 (3.2Ghz/800/2M) - (Wolfdale) LGA-775; /3725; 704375.00000; 
Материнские платы для AMD Socket AM3+; BOX Socket AM3 Athlon II X4 640 3.0GHz (128KB + 2048KB) 64bit Propus; /3725; 1201753.00000; 
Материнские платы для AMD Socket AM3+; OEM Socket AM3 Athlon II X2 240 2.8GHz (128KB + 2048KB) Regor; /3725; 593676.00000; 
Материнские платы для AMD Socket AM3+; OEM Socket AM3 Athlon II X2 250 3.0GHz (128KB + 2048KB) Regor; /3725; 571320.00000; 
Материнские платы для AMD Socket AM3+; OEM Socket AM3 Athlon II X3 420E 2.6GHz (128KB + 1536KB) Rana; /3725; 675786.00000; 
Материнские платы для AMD Socket AM3+; OEM Socket AM3 Athlon II X3 425 2.7GHz (128KB + 1536KB) Rana; /3725; 786646.00000; 
Материнские платы для AMD Socket AM3+; OEM Socket AM3 Sempron LE-145 2.8GHz (128KB + 1024KB) 6Mb L3/ 64bit Sargas; /3725; 273700.00000; 
Точки доступа; Интернет-центр Zyxel Keenetic для подключения по выделенной линии Ethernet/ с точкой доступа Wi-Fi 802.11n 300 Мбит/с/ коммутатором Ethernet и многофункциональным хостом USB; /3725; 849120.00000; 
Маршрутизаторы; Коммутатор D-Link DES-1005D 5-port 10/100 Retail; 10798/3725; 124268.00000; 
Маршрутизаторы; Коммутатор D-Link DGS-1005D/RU 5-port 10/100/1000Base-T; 12977/3725; 265646.00000; 
Телевизоры 32 - 40; 32'' Philips 32PFL3007H/60 LCD 1366x768 16:9 100GHz/ 3xHDMI/ D-Sub/ CI+/ 2x10W/ VESA/ ПДУ; /3725; 3974400.00000; 
Мобильные телефоны LG; LG A258 TFT цветной/ 2'' (176x220)/ камера 2Мп/ GPRS/ EDGE/ Bluetooth (A2DP)/ 900 mAh (Li-ion)/ Silver/ СТБ; /3725; 739294.00000; 
Мобильные телефоны LG; LG GX300 TFT 262 тыс. цветов/ 2.2'' (176x220)/ камера 2 Мп/ Dual Sim/ GPRS/ Bluetooth (A2DP)/ 1500 mAh (Li-ion)/ Black/ СТБ; /3725; 997602.00000; 
Мобильные телефоны LG; LG GX300 TFT 262 тыс. цветов/ 2.2'' (176x220)/ камера 2 Мп/ Dual Sim/ GPRS/ Bluetooth (A2DP)/ 1500 mAh (Li-ion)/ Wine Red/ СТБ; /3725; 997602.00000; 
Мобильные телефоны LG; LG S367  TFT 256 тыс. цветов/ 2.4'' (240x320)/ камера 2 Мп/ Dual Sim/ GPRS/ EDGE/ Bluetooth (A2DP)/ 900 mAh (Li-ion)/ Grey/ СТБ; /3725; 903900.00000; 
Мобильные телефоны LG; LG T300 Cookie Lite TFT 262 тыс. цветов/ 2.4'' (240x320)/ камера 1.3 Мп/ видео 176x144 15fps/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Pink/ СТБ; /3725; 729054.00000; 
Мобильные телефоны LG; LG T300 Cookie Lite TFT 262 тыс. цветов/ 2.4'' (240x320)/ камера 1.3 Мп/ видео 176x144 15fps/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ White/ СТБ; /3725; 729054.00000; 
Мобильные телефоны LG; LG T315 TFT 262 тыс. цветов/ 2.8'' (240x320)/ камера 2 Мп/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ 900 mAh (Li-ion)/ Black/ СТБ; /3725; 994566.00000; 
Мобильные телефоны LG; LG T500 TFT 262 тыс. цветов/ 2.8'' (240x320)/ камера 2 Мп/ видео 320x240/ GPRS/ EDGE/ Bluetooth (A2DP)/ 950 mAh (Li-ion)/  Red-Pink/ СТБ; /3725; 909420.00000; 
Мобильные телефоны Samsung; Samsung C3011 TFT 65 тыс. цветов/ 2'' (128x160)/ камера 0.3 Мп/ видео 176x144 15fps/ GPRS/ EDGE/ Bluetooth/ 800 mAh (Li-ion)/ Black/ СТБ; /3725; 580560.00000; 
Мобильные телефоны Samsung; Samsung C3011 TFT 65 тыс. цветов/ 2'' (128x160)/ камера 0.3 Мп/ видео 176x144 15fps/ GPRS/ EDGE/ Bluetooth/ 800 mAh (Li-ion)/ Blue/ СТБ; /3725; 580560.00000; 
Мобильные телефоны Samsung; Samsung C3300TFT 262 тыс. цветов/ 2.4'' (240x320)/ камера 1.3 Мп/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Pink/ СТБ; /3725; 821118.00000; 
Мобильные телефоны Samsung; Samsung C3312 Champ Deluxe Duos TFT 256 тыс. цветов/ 2.8'' (240x320)/ камера 1.3 Мп/ видео 176x144 15fps/ Dual Sim/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Silver/ СТБ; /3725; 936000.00000; 
Мобильные телефоны Samsung; Samsung C3312 Champ Deluxe Duos TFT 256 тыс. цветов/ 2.8'' (240x320)/ камера 1.3 Мп/ видео 176x144 15fps/ Dual Sim/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ White/ СТБ; /3725; 936000.00000; 
Мобильные телефоны Samsung; Samsung C3322 Duos TFT 256 тыс. цветов/ 2.2'' (240x320)/ камера 2 Мп/ видео 176x144 15fps/ Dual Sim/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Red/ СТБ; /3725; 833976.00000; 
Мобильные телефоны Samsung; Samsung C3520 TFT 256 тыс. цветов/ 2.4'' (240x320)/ камера 1.3 Мп/ GPRS/ EDGE/ Bluetooth (A2DP)/ 800 mAh (Li-ion)/ Grey/ СТБ; /3725; 739500.00000; 
Мобильные телефоны Samsung; Samsung C3530 TFT 262 тыс. цветов/ 2.2'' (240x320)/ камера 3.2 Мп/ видео 177x144 15fps/ GPRS/ EDGE/ Bluetooth (A2DP)/ 960 mAh (Li-ion)/ Red/ СТБ; /3725; 848700.00000; 
Мобильные телефоны Samsung; Samsung C3530 TFT 262 тыс. цветов/ 2.2'' (240x320)/ камера 3.2 Мп/ видео 177x144 15fps/ GPRS/ EDGE/ Bluetooth (A2DP)/ 960 mAh (Li-ion)/ Silver/ СТБ; /3725; 848700.00000; 
Мобильные телефоны Samsung; Samsung C3782 Black TFT 256 тыс. цветов/ 2.4'' (240x320)/ камера 3 Мп/ Dual Sim/ GPRS/ EDGE/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ СТБ; /3725; 1014300.00000; 
Мобильные телефоны Samsung; Samsung E1150 CSTN 65 тыс. цветов/ 1.4'' (128x128)/ 800 mAh (Li-ion)/ BLack/ СТБ; /3725; 342144.00000; 
Мобильные телефоны Samsung; Samsung E1200 TFT 65 тыс. цветов/ 1.5'' (128x128)/ 800 mAh (Li-ion)/ Black/ СТБ; /3725; 262500.00000; 
Мобильные телефоны Samsung; Samsung E1200 TFT 65 тыс. цветов/ 1.5'' (128x128)/ 800 mAh (Li-ion)/ White/ СТБ; /3725; 262500.00000; 
Мобильные телефоны Samsung; Samsung E1232D 1.8'' (128x160)/ Dual Sim/ Bluetooth (A2DP)/ 800 mAh (Li-ion)/ Black/ СТБ; /3725; 423360.00000; 
Мобильные телефоны Samsung; Samsung E2222 Duos TFT цветной/ 2.2'' (220x176)/ камера 0.3 Мп/ Dual Sim/ GPRS/ EDGE/ 1000 mAh (Li-ion)/ Black/ СТБ; /3725; 740952.00000; 
Мобильные телефоны Samsung; Samsung E2232 Duos TFT 65 тыс. цветов/ 1.8'' (128x160)/ камера 0.3 Мп/ Dual Sim/ GPRS/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Red/ СТБ; /3725; 518256.00000; 
Мобильные телефоны Samsung; Samsung E2600 TFT 262 тыс. цветов/ 2.4'' (240x320)/ камера 2 Мп/ GPRS/ EDGE/ Bluetooth/ 800 mAh/ Black/ СТБ; /3725; 723120.00000; 
Мобильные телефоны Samsung; Samsung Galaxy R I9103 Super Clear LCD 16 млн. цветов/ 4.2'' (480x800)/ камера 5 Мп/ видео 1280x720 30fps/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ GPS/ 1650 mAh (Li-ion)/ Grey/ СТБ; /3725; 4860000.00000; 
Мобильные телефоны Samsung; Samsung Galaxy S II I9100 Super AMOLED Plus 16 млн. цветов/ 4.3'' (480x800)/ камера 8 Мп/ видео 1920x1080 30fps/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ GPS/ 1650 mAh (Li-ion White/ СТБ; /3725; 5019840.00000; 
Мобильные телефоны Samsung; Samsung Galaxy S II I9100 Super AMOLED Plus 16 млн. цветов/ 4.3'' (480x800)/ камера 8 Мп/ видео 1920x1080 30fps/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ GPS/ 1650 mAh (Li-ion) / Black/ СТБ; /3725; 5019840.00000; 
Мобильные телефоны Samsung; Samsung S5360 TFT 256 тыс. цветов/ 3'' (240x320)/ камера 2 Мп/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ GPS/ 1200 mAh (Li-ion)/ Pink/ СТБ; /3725; 1282320.00000; 
Мобильные телефоны Samsung; Samsung S5620 Monte TFT 262 тыс. цветов/ 3'' (240x400)/ камера 3.2 Мп/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ GPS/ 1000 mAh (Li-ion)/ Grey/ СТБ; /3725; 1441880.00000; 
Web-камеры CANYON; Web-камера Canyon CNF-WCAM01B 1.3Mpx/ 1600x1200/ 10fps/ CMOS/ USB/ Silver-Black; /3725; 92712.00000; 
Web-камеры CANYON; Web-камера Canyon CNF-WCAM02B 1.3Mpx/ 1600x1200/ 10fps/ CMOS/ USB/ Black; /3725; 90864.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM420HD 2.0MPx/ CMOS/ 1600x1200/ 30fps/ Mic/ USB/ Black-Orange; /3725; 158148.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM43G 0.3MPx/ 640x480/ CMOS/ Mic/ USB/ StarFish/ Black-Green; /3725; 90666.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM513G 1.3Mpx/ 1280x960/ 30fps/ CMOS/ USB/ StarFish Sortware/ White-Orange; /3725; 136758.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM713G 1.3Mpx/ 1024x768/ 30fps/ CMOS/ USB/ StarFish Sortware/ Black-Silver; /3725; 125442.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM820HD 2Mpx/ 1600x1200/ 30fps/ CMOS/ USB/ StarFish Sortware/ Blue; /3725; 174156.00000; 
Web-камеры CANYON; Web-камера Canyon CNR-WCAM920HD 2.0Mpx/ 1600x1200/ 30fps/ CMOS/ USB/ Black-Blue; /3725; 192372.00000; 
Цифровые фотокамеры Canon; Canon PowerShot SX230 HS 12.1Mpx/ 1/2.3 (5.9x4.4 мм)/ CMOS/ LCD 3''/ 14x/4x Zoom/ Li-Ion/ BLack/ СТБ; /3725; 2626140.00000; 
Цифровые фотокамеры Samsung;" Samsung ST30 10.13MPx/ 1/3""/ DIS/ 2.4'' LCD/ SDHC up 8G/ BP70A/ USB 2.0/ Black/ СТБ"; /3725; 892800.00000; 
Цифровые фотокамеры Sony; Sony CyberShot DSC-S5000 14.1Mpx/ 1/2.3''/ CCD/ 2.7'' LCD/ 5/10xZoom/ 2xAA/ Silver/ СТБ; /3725; 848700.00000; 
